,star_name,distance,mass,radius
92,2MASS J08533619-0329321,27.6,0.028637640000000002,0.08837618
93,2MASSI J0859254-194926 [de],50,0.028637640000000002,0.08837618
95,2MASSI J0937347+293142,20.0,0.028637640000000002,0.08837618
96,2MASS 0939−2448,17.4,0.028637640000000002,0.08837618
97,2MASS J09490860-1545485 [de],59,0.028637640000000002,0.08837618
98,2MASS J10073369-4555147,46,0.028637640000000002,0.08837618
99,2MASSI J1010148-040649 [de],55,0.028637640000000002,0.08837618
102,2MASS J10224821+5825453 [de],60,0.028637640000000002,0.08837618
103,2MASSW J1036530-344138 [de],53,0.028637640000000002,0.08837618
104,2MASS J1047538+212423 [de],34.4,0.028637640000000002,0.08837618
105,DEN 1048-3956,13.15,0.028637640000000002,0.08837618
106,Luhman 16B,6.516,0.028637640000000002,0.08837618
107,Luhman 16A,6.516,0.028637640000000002,0.08837618
108,DENIS-P J1058.7−1548,49,0.028637640000000002,0.08837618
109,TWA 28,180,0.028637640000000002,0.08837618
110,Cha 110913-773444,163,0.028637640000000002,0.08837618
112,SDSS J111010.01+011613.1,63,0.028637640000000002,0.08837618
113,2MASS J11145133−2618235,18.2,0.028637640000000002,0.08837618
114,TWA 26,137,0.028637640000000002,0.08837618
116,2MASS J11544223-3400390 [de],129,0.028637640000000002,0.08837618
117,2MASSW J1155395-372735 [de],31,0.028637640000000002,0.08837618
120,2MASS J12074836-3900043,217,0.028637640000000002,0.08837618
121,2MASSI J1217110-031113 [de],36,0.028637640000000002,0.08837618
124,2M 1237+6526,45.6,0.028637640000000002,0.08837618
126,TWA 29,262,0.028637640000000002,0.08837618
127,SDSSp J125453.90-012247.4 [de],38,0.028637640000000002,0.08837618
128,Kelu-1A,61,0.028637640000000002,0.08837618
129,Kelu-1B,61,0.028637640000000002,0.08837618
130,2MASS J13204427+0409045,101,0.028637640000000002,0.08837618
131,SDSSp J132629.82-003831.5 [de],65,0.028637640000000002,0.08837618
132,SDSSp J134646.45-003150.4 [de],48,0.028637640000000002,0.08837618
133,2MASS J13595510-4034582,51,0.028637640000000002,0.08837618
134,ULAS J141623.94+134836.3,29.7,0.028637640000000002,0.08837618
135,SDSS J141659.78+500626.4 [de],149,0.028637640000000002,0.08837618
136,DENIS-P J142527.97-365023.4 [de],38,0.028637640000000002,0.08837618
137,LHS 2924,38.5,0.028637640000000002,0.08837618
138,2MASS J14392837+1929150,47,0.028637640000000002,0.08837618
139,LSPM J1440+1339,72,0.028637640000000002,0.08837618
140,2MASS J14482563+1031590 [de],47,0.028637640000000002,0.08837618
141,CFBDSIR 1458+10A,104,0.028637640000000002,0.08837618
142,CFBDSIR 1458+10B,104,0.028637640000000002,0.08837618
143,TVLM 513-46546,35.1,0.028637640000000002,0.08837618
144,2MASS 1503+2525,20.7,0.028637640000000002,0.08837618
145,CFBDS J150411+102717,71,0.028637640000000002,0.08837618
146,2MASSW J1506544+132106 [de],46,0.028637640000000002,0.08837618
147,2MASS 1507−1627,23.9,0.028637640000000002,0.08837618
148,TVLM 868-110639,53,0.028637640000000002,0.08837618
150,2MASSW J1515008+484742 [de],34,0.028637640000000002,0.08837618
151,2MASSI J1526140+204341 [de],67,0.028637640000000002,0.08837618
152,DENIS-P J153941.96-052042.4 [de],51,0.028637640000000002,0.08837618
153,2MASS J15462718-3325111 [de],37,0.028637640000000002,0.08837618
154,2MASSW J1552591+294849 [de],68,0.028637640000000002,0.08837618
155,2MASSW J1555157-095605 [de],44,0.028637640000000002,0.08837618
156,2MASS J16150413+1340079 [de],48,0.028637640000000002,0.08837618
157,SDSSp J162414.37+002915.6 [de],36,0.028637640000000002,0.08837618
158,2MASS J16262034+3925190 [de],110,0.028637640000000002,0.08837618
159,2MASSW J1632291+190441 [de],50,0.028637640000000002,0.08837618
160,WISEPA J164715.59+563208.2,28,0.028637640000000002,0.08837618
161,LSPM J1658+7027 [de],60,0.028637640000000002,0.08837618
162,2MASSI J1726000+153819,114,0.028637640000000002,0.08837618
164,SDSSp J175032.96+175903.9,90,0.028637640000000002,0.08837618
165,2MASS J18283572-4849046,39,0.028637640000000002,0.08837618
166,LSR J1835+3259,18.5,0.028637640000000002,0.08837618
167,2MASSW J1841086+311727,138,0.028637640000000002,0.08837618
168,2MASS J18432213+4040209,46,0.028637640000000002,0.08837618
169,2MASS J20004841-7523070,105,0.028637640000000002,0.08837618
170,SDSS J204749.61-071818.3,65,0.028637640000000002,0.08837618
171,2MASSI J2057540-025230,47,0.028637640000000002,0.08837618
173,2MASSI J2104149-103736,62,0.028637640000000002,0.08837618
174,PSO J318.5−22,80,0.028637640000000002,0.08837618
175,HB 2124-4228,113,0.028637640000000002,0.08837618
176,2MASS J21392676+0220226,32.1,0.028637640000000002,0.08837618
177,2MASS J21481628+4003593,26.3,0.028637640000000002,0.08837618
179,2MASSW J2206450-421721,93,0.028637640000000002,0.08837618
180,2MASSW J2208136+292121,154,0.028637640000000002,0.08837618
181,2MASSW J2224438-015852,38,0.028637640000000002,0.08837618
182,2MASS J22282889-4310262,35,0.028637640000000002,0.08837618
183,2MASS J22373255+3922398,64,0.028637640000000002,0.08837618
184,2MASSW J2244316+204343,56,0.028637640000000002,0.08837618
185,2MASS J23224684-3133231,56,0.028637640000000002,0.08837618
186,2MASS J23225299-6151275,148,0.028637640000000002,0.08837618
187,2MASS J23515044-2537367,67,0.028637640000000002,0.08837618
188,2MASSI J2356547-155310,74,0.028637640000000002,0.08837618
226,WISE 0410+1502,20,0.028637640000000002,0.08837618
230,WISE 0458+6434A,35.9,0.028637640000000002,0.08837618
231,WISE 0458+6434B,35.9,0.028637640000000002,0.08837618
285,WISE 1405+5534,25.3,0.028637640000000002,0.08837618
